Country Name,Time,Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],Consumer price index (2010 = 100) [FP.CPI.TOTL],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gini index [SI.POV.GINI],CoL_Trend
Austria,2011.0,42625.237354533,51116.8953522042,5168.0,103.286579148754,3.2865791487538,30.8,Normal
Austria,2012.0,39980.6308392887,48250.4059142637,4966.0,105.853948467215,2.48567562177015,30.5,Normal
Austria,2013.0,41694.0714086868,50305.3545774973,5235.0,107.971192747618,2.00015616900597,30.8,Normal
Austria,2014.0,42465.7666055794,51314.9722616322,5394.0,109.70500693326,1.60581182954474,30.5,Normal
Austria,2015.0,35811.6857751508,43915.228020857,4613.0,110.688581802368,0.89656333526032,30.5,Normal
Austria,2016.0,37196.1677474225,45061.4993920192,4710.0,111.675472068849,0.891591752655362,30.8,Normal
Austria,2017.0,38441.7327185494,47163.7425775142,4939.0,113.999739176771,2.08126911385587,29.7,Normal
Austria,2018.0,41651.8073903702,51194.0749841299,5337.0,116.277886952829,1.9983798142954,30.8,Normal
Austria,2019.0,40712.5753412494,49885.9947355204,5263.0,118.057980056249,1.53089564152644,30.2,Normal
Austria,2020.0,39515.5574069958,48716.4098900349,5567.0,119.689435836364,1.38191063351862,29.8,Normal
Austria,2021.0,43281.7334797461,53648.7190742245,6505.0,123.00084356117,2.7666666666667,30.7,Normal
Bangladesh,2010.0,749.617087690298,757.385280361508,21.15062714,100.0,8.12667639169917,32.1,Decreasing
Bangladesh,2016.0,1580.77341984739,1649.28380858601,39.55920792,152.529140322278,5.51352572692995,32.4,Decreasing
Belarus,2009.0,4480.50800060588,5352.48809190697,281.0,92.8197017390843,12.9456563410402,27.7,Decreasing
Belarus,2010.0,5017.31026339701,6034.67885177216,333.0,100.0,7.73574804312508,28.6,Decreasing
Belarus,2011.0,5460.29589525563,6527.6593428786,310.0,153.228698311817,53.2286983118173,27.2,Rising
Belarus,2012.0,5735.83109017894,6953.21591683101,355.0,243.97032896394,59.2197360232517,26.5,Rising
Belarus,2013.0,6490.27112693149,7998.0802045456,444.0,288.646812458566,18.3122610377874,26.6,Rising
Belarus,2014.0,6842.25522471949,8341.29014337961,438.0,340.948328529255,18.1195543526734,27.2,Rising
Belarus,2015.0,4824.41947817156,5967.06856034227,353.0,387.093945157894,13.5344897649735,25.6,Rising
Belarus,2016.0,4055.47952046963,5039.77560949445,291.0,432.912632614287,11.8365807653497,25.3,Rising
Belarus,2017.0,4690.77961248574,5785.53397723676,325.0,459.025218055968,6.03183725177793,25.4,Rising
Belarus,2018.0,5139.38472293261,6360.05310087258,342.0,481.390313879142,4.87230220550684,25.2,Rising
Belarus,2019.0,5563.11300876083,6837.76832136779,390.0,508.339294380209,5.59815595039854,25.3,Rising
Belarus,2020.0,5200.94407492104,6542.8645398436,408.0,536.542688278354,5.54814357456511,24.4,Rising
Belgium,2009.0,36866.0491099004,44923.3400135082,4638.43896484,97.8576042489055,-0.053145674125377,28.6,Normal
Belgium,2010.0,36326.6393258806,44197.393671162,4531.03369141,100.0,2.18929920422457,28.4,Normal
Belgium,2011.0,38266.9837421049,47760.8298776546,4930.14111328,103.532082107227,3.53208210722742,28.1,Normal
Belgium,2012.0,36945.8409992463,44874.1709182123,4704.47265625,106.47204478576,2.83966343445899,27.5,Normal
Belgium,2013.0,38766.0380436211,46964.5946777056,4954.92431641,107.657180793799,1.1130959402754,27.7,Normal
Belgium,2014.0,39529.631063782,47995.778696134,5080.125,108.02321825881,0.340002833356922,28.1,Normal
Belgium,2015.0,33799.7398337937,40893.804537772,4442.40136719,108.629692097897,0.561429152790065,27.7,Normal
Belgium,2016.0,34528.4905949401,41854.5498296444,4542.79492188,110.773882150291,1.97385264653181,27.6,Normal
Belgium,2017.0,36341.1910737419,44035.3239358548,4782.64697266,113.128902605325,2.12597086002607,27.4,Normal
Belgium,2018.0,39046.7014085377,47487.2100392561,5176.98388672,115.451625636977,2.05316499865186,27.2,Normal
Belgium,2019.0,38340.1219991244,46716.6227467964,5049.57714844,117.110457187971,1.43681956996429,27.2,Normal
Belgium,2020.0,36801.2817418139,45906.2875805246,5104.02539063,117.978001866073,0.740791812220344,26.0,Normal
Belgium,2021.0,41743.0142804966,51655.7883303715,5680.23144531,120.856958300438,2.44024851144084,26.6,Normal
Benin,2011.0,919.350508736559,1059.41358915783,32.9503212,102.704239077473,2.7042390774728,43.4,Decreasing
Benin,2015.0,898.797038110268,1002.41886882564,28.41767883,109.736884846516,0.218785923536154,47.6,Decreasing
Benin,2018.0,1023.02610296719,1151.74096952152,34.44770432,109.914532239727,0.919170717886054,37.9,Decreasing
Benin,2021.0,1173.28565331485,1318.83497843483,35.12914658,116.04419147224,1.73353962694036,34.4,Decreasing
Bhutan,2012.0,2002.64933313358,2751.21288653263,83.64318848,120.734921525617,10.919656944683,38.8,Decreasing
Bhutan,2017.0,2610.16190856802,3435.28804814561,103.39090729,161.05087817625,4.95508366985129,37.4,Decreasing
Bolivia,2009.0,1453.72775971474,1731.18172112209,89.26693726,97.5578575098271,3.34645420142014,49.2,Decreasing
Bolivia,2011.0,1845.87183011161,2315.52121930607,119.23861694,109.884464198239,9.88446419823883,46.1,Decreasing
Bolivia,2012.0,1972.18496259599,2575.59857098084,134.63066101,114.846410265601,4.51560291399376,46.6,Decreasing
Bolivia,2013.0,2202.04758787747,2870.02377000756,159.08921814,121.434460016488,5.73640023719607,47.6,Decreasing
